ORDEN,FECHA,CLIENTE,ART,COLOR,METROS ,GXM,MAQUINA,OBSERVACIONES,Unnamed: 9,Unnamed: 10
719.0,2023-02-09 00:00:00,GIULIANI,CORDURA,MARINO,385.0,0.38,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
720.0,2023-02-09 00:00:00,DALTEX,POPLIN,MARINO,774.0,0.16,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
721.0,2023-02-10 00:00:00,HILANTEJ,540 ALG,AGUAMARINA,491.0,0.54,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
722.0,2023-02-10 00:00:00,DALTEX,POPLIN,MARINO,918.0,0.16,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
723.0,2023-02-10 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,808.0,0.315,JIGGER 2,TEÑIDO DE ALGODON EN JIGGER,,
724.0, 10/02/2023,POLIZZOTTO,F BOLSILLO ,NEGRO,1041.0,0.16,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
725.0,2023-02-13 00:00:00,DALTEX,POPLIN,NEGRO,793.0,0.16,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
726.0,2023-02-13 00:00:00,PHOENIX,CORDURA,VDE MILITAR,544.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
727.0,2023-02-13 00:00:00,COTEXSA,LONA TOLDO,GRIS ACERO,297.0,0.452,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
728.0,2023-02-13 00:00:00,DALTEX,POPLIN,MARINO,1692.0,0.16,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
729.0,2023-02-13 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,1195.0,0.24,JIGGER ,TEÑIDO DE ALGODON EN JIGGER,,
730.0,2023-02-14 00:00:00,DALESSANDRO,RUSTICO,VDE MALVA,440.0,0.29,JIGGER,TEÑIDO UNI EN JIGGER 1,,
731.0,2023-02-14 00:00:00,DALESSANDRO,RUSTICO,ARENA SCOUT,439.0,0.29,JIGGER,TEÑIDO UNI EN JIGGER 1,,
732.0,2023-02-14 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,1150.0,0.24,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
733.0,2023-02-15 00:00:00,COTEXSA,LONA TOLDO,GRIS ACERO,297.0,0.452,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
734.0,2023-02-15 00:00:00,COTEXSA,BENGALINA,NATURAL,691.0,0.32,JIGGER 1,TEÑIDO DE POLIESTER EN JIGGER,,
735.0,2023-02-15 00:00:00,FIBRASINT,FIBRA DE CARB,NEGRO,580.0,0.172,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
736.0,2023-02-15 00:00:00,TELARES DEL SUR,TRACKER,NEGRO,360.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
737.0,2023-02-15 00:00:00,TELARES DEL SUR,TRACKER,NEGRO,370.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
738.0,2023-02-15 00:00:00,TOBATEL,RIP STOP,NEGRO,505.0,0.32,JET 1,TEÑIDO DE POLIESTER EN JET,,
739.0,2023-02-15 00:00:00,TOBATEL,RIP STOP,NEGRO,505.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
740.0,2023-02-16 00:00:00,TOBATEL,RIP STOP,NEGRO,502.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
741.0,2023-02-16 00:00:00,TOBATEL,RIP STOP,NEGRO,502.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
742.0,2023-02-16 00:00:00,SADASA,CORDURA,NEGRO,501.0,0.29,JET 1,TEÑIDO DE POLIAMIDA EN JIGGER,,
743.0,  16/02/2023 ,HILANTEJ,540 ALG,ROJO MIMO,521.0,0.54,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
744.0,2023-02-17 00:00:00,HILANTEJ,540 ALG,FUCSIA MIMO,442.0,0.54,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
745.0,2023-02-17 00:00:00,HILANTEJ,540 ALG,FUCSIA MIMO,396.0,0.54,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
746.0,2023-02-17 00:00:00,TOBATEL ,RIP STOP,NEGRO,1011.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
747.0,2023-02-17 00:00:00,DALESSANDRO,FANTASIA,ROJO,796.0,0.21,JET 1,TEÑIDO DE ALG/POLIESTER EN JET 1,,
748.0,2023-02-17 00:00:00,SADASA,TRACKER,ROJO,360.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
749.0,2023-02-22 00:00:00,POLIZZOTTO,F BOLSILLO ,CELESTE,1924.0,0.16,JIGGER,TEÑIDO DE ALG/POLIESTER EN JIGGER,,
750.0,2023-02-22 00:00:00,DALESSANDRO,FANTASIA,ARENA SCOUT,795.0,0.21,JIGGER,TEÑIDO UNI EN JIGGER 1,,
751.0,2023-02-22 00:00:00,DALESSANDRO,FANTASIA,VERDE MALVA,820.0,0.21,JIGGER,TEÑIDO UNI EN JIGGER 1,,
752.0,2023-02-22 00:00:00,TOBATEL,RIP STOP,NEGRO,1003.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
753.0,2023-02-22 00:00:00,TOBATEL,TRACKER,MARRON,631.0,0.22,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
754.0,2023-02-22 00:00:00,TOBATEL,TRACKER,MARRON,639.0,0.22,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
755.0,2023-02-23 00:00:00,TELARES DEL SUR,TRACKER,ROJO,382.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
756.0,2023-02-23 00:00:00,TELARES DEL SUR,TRACKER,ROJO,371.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
757.0,2023-02-23 00:00:00,TELARES DEL SUR,TRACKER,ROJO,360.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
758.0,2023-02-20 00:00:00,SADASA,ALG 2020,NEGRO,480.0,0.25,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
759.0,2023-02-23 00:00:00,TELARES DEL SUR,ROMBO,MARINO,650.0,0.154,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
760.0,2023-02-24 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,1000.0,0.24,JET 1,TEÑIDO DE ALGODÓN EN JIGGER,,
761.0,2023-02-24 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,1090.0,0.24,JET 1,TEÑIDO DE ALGODON EN JIGGER,,
762.0,2023-02-24 00:00:00,TOBATEL,RIP STOP,NEGRO,506.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
763.0,2023-02-24 00:00:00,TOBATEL,RIP STOP,NEGRO,506.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
764.0,2023-02-24 00:00:00,NOVADENIM,GUARDAPOLVO,ROJO,713.0,0.2,JET 1,TEÑIDO DE POLIESTER EN JET 1 REPROCESO,,
765.0,2023-02-25 00:00:00, TELARES DEL SUR,RIP STOP,NEGRO,300.0,0.34,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
766.0,2023-02-25 00:00:00,TELARES DEL SUR,RIP STOP,NEGRO,300.0,0.34,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
767.0,2023-02-25 00:00:00,PELEG,GROSS,NEGRO,966.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
768.0,2023-02-25 00:00:00,PELEG,GROSS,NEGRO,975.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
769.0,2023-02-27 00:00:00,VILLAGRA,TAFETA PESADA,AZUL MNO,416.0,0.275,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
770.0,2023-02-27 00:00:00,VILLAGRA,TAFETA PESADA,AZUL MNO,409.0,0.275,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
771.0,2023-02-27 00:00:00,VILLAGRA,TAFETA PESADA,AZUL MNO,408.0,0.275,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
772.0,2023-02-27 00:00:00,HILANTEJ,BRIN 3015,BLUE NAVY,576.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
773.0,2023-02-27 00:00:00,TOBATEL,RIP STOP,NEGRO,1011.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
774.0,2023-02-27 00:00:00,AGLOBAL,GABARDINA,MARINO,690.0,0.33,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
775.0,2023-02-27 00:00:00,DALESSANDRO,FANTASIA,GRIS INTENSO,711.0,0.21,JIGGER,TEÑIDO DE ALGODÓN /POLIESTER EN JIGGER,,
776.0,2023-02-28 00:00:00,PUCHE,GROSS,NATURAL 2022,525.0,0.305,JIGGER,TEÑIDO DE POLIESTER EN JIGGER  1,,
777.0,2023-02-28 00:00:00,JUAN CARLOS,RIP STOP,MNO POLICIAL,622.0,0.28,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
778.0,2023-02-28 00:00:00,JUAN CARLOS,RIP STOP,MNO POLICIAL,630.0,0.28,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
779.0,2023-02-28 00:00:00,JUAN CARLOS,RIP STOP,NEGRO,599.0,0.28,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
780.0,2023-03-02 00:00:00,TOBATEL,CIRCUS,NEGRO,1026.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
781.0,2023-03-02 00:00:00,SADASA,SARGA ALG ,NEGRO,551.0,0.57,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
782.0,2023-03-02 00:00:00,SADASA,SARGA ALG ,NEGRO,556.0,0.57,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
783.0,2023-03-02 00:00:00,SADASA,SARGA ALG ,NEGRO,601.0,0.57,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
784.0,2023-03-02 00:00:00,TOBATEL,CIRCUS,ROJO,981.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
785.0,2023-03-03 00:00:00,TOBATEL,MICROCOTTON,VDE MILITAR,662.0,0.19,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
786.0,2023-03-03 00:00:00,TOBATEL,MICROCOTTON,VDE MILITAR,662.0,0.19,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
787.0,2023-03-03 00:00:00,TOBATEL,MICROCOTTON,VDE MILITAR,662.0,0.19,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
788.0,2023-03-03 00:00:00,NOTTA TEXTIL,SARGA POL  ,ROJO,411.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
789.0,2023-03-03 00:00:00,NOTTA TEXTIL,SARGA POL  ,ROJO,400.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
790.0,2023-03-03 00:00:00,NOTTA TEXTIL,SARGA POL  ,ROJO,370.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
791.0,2023-03-03 00:00:00,VILLAGRA,TAFETA PESADA, MARINO,423.0,0.275,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
792.0,2023-03-03 00:00:00,VILLAGRA,TAFETA PESADA,MARINO,439.0,0.275,JET 1,TEÑIDO DE POLIESTER EN JET  1,,
793.0,2023-03-03 00:00:00,VILLAGRA,TAFETA PESADA,MARINO,433.0,0.275,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
794.0,2023-03-03 00:00:00,TELARES DEL SUR,TRACKER,ROJO,402.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
795.0,2023-03-03 00:00:00,TELARES DEL SUR,TRACKER,ROJO,392.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
796.0,2023-03-03 00:00:00,TELARES DEL SUR,TRACKER,ROJO,389.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
797.0,2023-03-03 00:00:00,VILLAGRA,TAFETA PESADA,MARINO,1233.0,0.275,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
798.0,2023-03-03 00:00:00,JUAN CARLOS,RIP STOP,BEIGE,670.0,0.28,JIGGER,TEÑIDO ALGODÓN POLIETER EN JIGGER,,
799.0,2023-03-03 00:00:00,JUAN CARLOS,RIP STOP,BEIGE,720.0,0.28,JIGGER,TEÑIDO ALGODÓN POLIETER EN JIGGER,,
800.0,2023-03-03 00:00:00,JUAN CARLOS,RIP STOP,MNO POLICIAL,1252.0,0.28,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
801.0,2023-03-03 00:00:00,JUAN CARLOS,RIP STOP,NEGRO,599.0,0.28,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
802.0,2023-03-03 00:00:00,MC FILM,NO TEJIDO,NATURAL,200.0,0.6,JIGGER 1,TEÑIDO DE SINTETICO EN JIGGER,,
803.0,2023-03-03 00:00:00,MC FILM,NO TEJIDO,NATURAL,200.0,0.6,JIGGER 1,TEÑIDO DE  SINTETICO EN JIGGER,,
804.0,2023-03-07 00:00:00,TOBATEL,MICROCOTTON,VDE MILITAR,1986.0,0.19,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
805.0,2023-03-07 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,1000.0,0.24,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
806.0,2023-03-07 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,1005.0,0.24,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
807.0,2023-03-07 00:00:00,VILLAGRA,TAFETA PESADA,MARINO,1295.0,0.275,JIGGER 2,TEÑIDO DE ALGODON EN JIGGER,,
808.0,2023-03-07 00:00:00,TELARES DEL SUR,TRACKER,FRANCIA,300.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
809.0,2023-03-07 00:00:00,TELARES DEL SUR,TRACKER,FRANCIA,335.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
810.0,2023-03-07 00:00:00,TELARES DEL SUR,TRACKER,FRANCIA,315.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
811.0,2023-03-07 00:00:00,FIBRASINT,GROSS,AZUL MNO,400.0,0.24,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
812.0,2023-03-07 00:00:00,FIBRASINT,GROSS,AZUL MNO,400.0,0.24,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
813.0, 08/03/2023,COTEXSA,LONA TOLDO,ALLO ORO,560.0,0.405,JIGGER,TEÑIDO DE ALGODÓN POLIESTER EN JIGGER,,
814.0,2023-03-09 00:00:00,PELEG,GROSS,NEGRO,988.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
815.0,2023-03-09 00:00:00,PELEG,GROSS,NEGRO,982.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
816.0,2023-03-09 00:00:00,TELARES DEL SUR,TRACKER,FRANCIA,335.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
817.0,2023-03-09 00:00:00,TELARES DEL SUR,TRACKER,FRANCIA,346.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
818.0,2023-03-09 00:00:00,TELARES DEL SUR,TRACKER,FRANCIA,360.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
819.0,2023-03-13 00:00:00,DETOMASO,GROSS,MARINO,600.0,0.17,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
820.0,2023-03-14 00:00:00,SADASA,CORDURA,NEGRO,582.0,0.317,JIGGER,TEÑIDO DE POLIAMIDA EN JIGGER,,
821.0,2023-03-14 00:00:00,HILANTEJ,540 ALG,BLUE NAVY,517.0,0.54,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
822.0,2023-03-14 00:00:00,HILANTEJ,540 ALG,AZUL INDIGO,508.0,0.54,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
823.0,2023-03-14 00:00:00,HILANTEJ,540 ALG,FRANCIA VINTAGE,524.0,0.54,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
824.0,2023-03-15 00:00:00,PELEG,GROSS,NEGRO,702.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
825.0,2023-03-16 00:00:00,PELEG,GROSS,NEGRO,702.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
826.0,2023-03-16 00:00:00,PELEG,GROSS,NEGRO,615.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
827.0,2023-03-16 00:00:00,DALTEX,POPLIN,NEGRO,860.0,0.15,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
828.0,2023-03-17 00:00:00,HILANTEJ,540 ALG,BLACK BANCK ,584.0,0.54,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
829.0,2023-03-17 00:00:00,GIULIANI,CORDURA,MARINO,360.0,0.38,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
830.0,2023-03-17 00:00:00,GIULIANI,CORDURA,MARINO,360.0,0.38,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
831.0,2023-03-17 00:00:00,DALTEX,POPLIN,MARINO,860.0,0.16,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
832.0,2023-03-17 00:00:00,DALTEX, POPLIN,MARINO,903.0,0.16,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
833.0,2023-03-20 00:00:00,NOVADENIM,POPLIN,NEGRO,713.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
834.0,2023-03-20 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,505.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
835.0,2023-03-20 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,505.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
836.0,2023-03-20 00:00:00,DALTEX,POPLIN,MARINO,1763.0,0.16,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
837.0,2023-03-20 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,1010.0,0.315,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
838.0,2023-03-20 00:00:00,JUAN CARLOS,RIP STOP,MNO POLICIAL,0.55,0.28,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
839.0,2023-03-20 00:00:00,JUAN CARLOS,RIP STOP,MNO POLICIAL,0.55,0.28,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
840.0,2023-03-20 00:00:00,JUAN CARLOS,RIP STOP,MNO POLICIAL,1100.0,0.28,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
841.0,2023-03-20 00:00:00,JUAN CARLOS,RIP STOP,NEGRO,561.0,0.28,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
842.0,2023-03-21 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,986.0,0.24,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
843.0,2023-03-21 00:00:00,DETOMASO,TRACKER,MNO POLICIAL,814.0,0.21,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
844.0,2023-03-21 00:00:00,DETOMASO,TRACKER,MNO POLICIAL,814.0,0.21,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
845.0,2023-03-21 00:00:00,POLIZZOTTO,F BOLSILLO ,CELESTE,1486.0,0.16,JIGGER,TEÑIDO DE ALGODÓN POLIESTER EN JIGGER,,
846.0,2023-03-22 00:00:00,FIBRASINT,FIBRA DE CARB,VERDE,570.0,0.172,JIGGER,TEÑIDO DE POLIESTER EN JIGGER,,
847.0,2023-03-22 00:00:00,TOBATEL,RIP STOP,VDE MILITAR 2023,480.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
848.0,2023-03-22 00:00:00,TOBATEL,RIP STOP,VDE MILITAR 2023,439.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
849.0,2023-03-22 00:00:00,TOBATEL,RIP STOP,VDE MILITAR 2023,919.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
850.0,2023-03-22 00:00:00,TOBATEL,CIRCUS,TURQUESA,1001.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
851.0,2023-03-22 00:00:00,TOBATEL,CIRCUS,VERDE MILITAR,1000.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
852.0,2023-03-23 00:00:00,POLIZZOTTO,F BOLSILLO ,NEGRO,1097.0,0.16,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
853.0,2023-03-27 00:00:00,TOBATEL,CIRCUS,NEGRO,1005.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
854.0,2023-03-27 00:00:00,TOBATEL,CIRCUS,AZUL MNO,1004.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
855.0,2023-03-27 00:00:00,JUAN CARLOS,RIP STOP,NEGRO,561.0,0.28,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
856.0,2023-03-27 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,500.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
857.0,2023-03-27 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,500.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
858.0,2023-03-27 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,1000.0,0.315,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER ,,
859.0,2023-03-27 00:00:00,TELARES DEL SUR,ROMBO,CELESTE,636.0,0.154,JIGGER,TEÑIDO DE POLIESTER EN JIGGER,,
860.0,2023-03-28 00:00:00,TOBATEL,TRACKER,GRIS MEDIO,840.0,0.22,JET 1,TEÑIDO DE POLIESTER EN JET1,,
861.0,2023-03-28 00:00:00,TOBATEL,TRACKER,MARRON,840.0,0.22,JET 1,TEÑIDO DE POLIESTER EN JET1,,
862.0,2023-03-28 00:00:00,TOBATEL,TRACKER,BEIGE PREFECT,834.0,0.22,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
863.0,2023-03-29 00:00:00,TEXTIL NOTTA,SARGA,ROJO,390.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
864.0,2023-03-29 00:00:00,TEXTIL NOTTA,SARGA,ROJO,398.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
865.0,2023-03-29 00:00:00,TEXTIL NOTTA,SARGA,ROJO,417.0,0.3,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
866.0,2023-03-29 00:00:00,TOBATEL,CIRCUS,NARANJA,1054.0,0.14,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
867.0,2023-03-29 00:00:00,SADASA,SARGA ALG ,NEGRO,599.0,0.57,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
868.0,2023-03-29 00:00:00,SADASA,SARGA ALG ,NEGRO,605.0,0.57,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
869.0,2023-03-30 00:00:00,COTEXSA,LONA TOLDO,PETROLEO,244.0,0.453,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
870.0,2023-03-30 00:00:00,COTEXSA,LONA TOLDO,PETROLEO,244.0,0.453,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
871.0,2023-03-30 00:00:00,COTEXSA,LONA TOLDO,VERDE BENETTON,257.0,0.453,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
872.0,2023-03-30 00:00:00,COTEXSA,LONA TOLDO,VERDE BENETTON,257.0,0.453,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
873.0,2023-03-31 00:00:00,PARIS,GABARDINA,ROJO,386.0,0.25,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
874.0,2023-03-31 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,995.0,0.24,JIGGER,TEÑIDO DE ALGODÓN EN JIGGER,,
875.0,2023-03-31 00:00:00,TELARES DEL SUR,TRACKER,MARINO,362.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
876.0,2023-03-31 00:00:00,TELARES DEL SUR,TRACKER,MARINO,373.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
877.0,2023-03-31 00:00:00,TELARES DEL SUR,TRACKER,MARINO,360.0,0.425,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
878.0,2023-03-31 00:00:00,HILANTEJ,BRIN 3015,BLUE VINTAGE,590.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
879.0,2023-04-01 00:00:00,GIULIANI,CORDURA,MARINO,391.0,0.38,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
880.0,2023-04-01 00:00:00,GIULIANI,CORDURA,MARINO,370.0,0.38,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
881.0,2023-04-01 00:00:00,GIULIANI,CORDURA,MARINO,344.0,0.38,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
882.0,2023-04-01 00:00:00,HILANTEJ,BRIN 3015,BLACK BOARD,993.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
883.0,2023-04-01 00:00:00,HILANTEJ,BRIN 3015,NEGRO,998.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
884.0,2023-04-01 00:00:00,SADASA,CORDURA 500,NEGRO,608.0,0.317,JIGGER,TEÑIDO DE POLIAMIDA EN JIGGER,,
885.0,2023-04-01 00:00:00,SADASA,CORDURA 500,NEGRO,588.0,0.317,JIGGER,TEÑIDO DE POLIAMIDA EN JIGGER,,
886.0,2023-04-03 00:00:00,TOBATEL,MICROCOTTON,NEGRO,766.0,0.19,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
887.0,2023-04-03 00:00:00,TOBATEL,MICROCOTTON,NEGRO,764.0,0.19,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
888.0,2023-04-05 00:00:00,TOBATEL,RIP STOP,GRIS,526.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
889.0,2023-04-05 00:00:00,TOBATEL,RIP STOP,GRIS,475.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
890.0,2023-04-05 00:00:00,TOBATEL,RIP STOP,GRIS,513.0,0.315,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
891.0,2023-04-06 00:00:00,DETOMASO,TAFETA,MARINO CLASICO,1044.0,0.17,JET 1,TEÑIDO DE POLIESTER EN JET 1,,
892.0,2023-04-06 00:00:00,FIBRASINT,GROSS,PIEL DE FOCA,1005.0,0.24,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
893.0,2023-04-06 00:00:00,TOBATEL,RIP STOP,GRIS TOPO,1514.0,0.24,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
894.0,2023-04-10 00:00:00,HILANTEJ,BRIN 3015,BLUE VINTAGE,1088.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
895.0,2023-04-10 00:00:00,HILANTEJ,BRIN 3015,VERDE CITY,561.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
896.0, 10/04/2023,FIBRASINT,GROSS,PIEL DE FOCA,1040.0,0.24,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
897.0,2023-04-10 00:00:00,HILANTEJ,BRIN 3015,BLUE NAVY,553.0,0.315,JIGGER,TEÑIDO DE ALGODON EN JIGGER,,
