ORDEN,FECHA,CLIENTE,ART,COLOR,METROS ,GXM,MAQUINA,OBSERVACIONES,Unnamed: 9,Unnamed: 10
68.0,2022-04-20 00:00:00,NOVADENIM,guardapolvo,AZUL MNO,751.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
69.0,2022-04-20 00:00:00,NOVADENIM,guardapolvo,AZUL MNO,747.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
70.0,2022-04-21 00:00:00,KARHAM,GROSS,AZUL MNO,420.0,0.24,JET 1,TEÑIDO 2 FIBRAS,EN JET 1,
71.0,2022-04-21 00:00:00,PELEG,GROSS,NEGRO,881.0,0.21,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
72.0,2022-04-21 00:00:00,PELEG,GROSS,NEGRO,861.0,0.21,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
73.0,2022-04-21 00:00:00,DALTEX,POPLIN,NEGRO,892.0,0.15,JET 1,TEÑIDO POLIESTER EN JET 1,,
74.0,2022-04-21 00:00:00,DETOMASO,TAFETA,NEGRO,1082.0,0.13,JET 1,TEÑIDO POLIESTER EN JET 1,,
75.0,2022-04-21 00:00:00,TELARES D SUR,TRACKER,NEGRO,510.0,0.392,JET,TEÑIDO POLIESTER EN JET 1,,
76.0,2022-04-21 00:00:00,COTEXSA,BENGALINA,NEGRO,402.0,0.32,JET 1,TEÑIDO POLIESTER EN JET 1,,
77.0,2022-05-03 00:00:00,SADASA,POL 900,COYOTE,400.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
78.0,2022-05-03 00:00:00,SADASA,POL 900,COYOTE,400.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
79.0,2022-05-03 00:00:00,SHOGOMONT,CORDURA,ALLO ORO,622.0,0.32,JET 1,TEÑIDO POLIESTER EN JET 1,,
80.0,2022-05-03 00:00:00,TOBATEL,TRACKER,ALLO ORO,802.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
81.0,2022-05-03 00:00:00,TOBATEL,TRACKER,ALLO ORO,800.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
82.0,2022-05-03 00:00:00,TOBATEL,MICROCOTTON,VISON,782.0,0.19,JET 1,TEÑIDO POLIESTER EN JET 1,,
83.0,2022-05-03 00:00:00,TOBATEL,MICROCOTTON,VISON,782.0,0.19,JET 1,TEÑIDO POLIESTER EN JET 1,,
84.0,2022-05-04 00:00:00,TOBATEL,RIP STOP,GRIS TOPO,752.0,0.33,JIGGERS 2,TEÑIDO DE ALGODÓN JIGGERS 2,,
85.0,2022-05-04 00:00:00,FIBRASINT,FIBRA DE CARB,VERDE S/MTRA,762.0,0.172,JET 1,TEÑIDO POLIESTER EN JET 1,,
86.0,2022-05-04 00:00:00,COTEXSA,BENGALINA,VDE BENETTON,306.0,0.32,JET 1,TEÑIDO POLIESTER EN JET 1,,
87.0,2022-05-04 00:00:00,COTEXSA,BENGALINA,VDE BENETTON,307.0,0.32, JET 1,TEÑIDO POLIESTER EN JET 1,,
88.0,2022-05-06 00:00:00,SCOZZARI,TAPICERIA,BORDO,449.0,0.38,JET 1,TEÑIDO POL/ALG EN 2 BAÑOS,,
89.0,2022-05-09 00:00:00,JOMEH,MADRAS,BORDO,797.0,0.21,JET 1,TEÑIDO POL/ALG EN 2 BAÑOS,,
90.0, 09/05/2022,TOBATEL ,MICROCOTTON,VISON,1565.0,0.19,JIGGERS 1,TEÑIDO ALGODÓN EN JIGGERS,,
91.0,2022-05-09 00:00:00,TOBATEL,TRACKER,MARINO,853.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
92.0,2022-05-09 00:00:00,TOBATEL,TRACKER,MARINO,810.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
93.0,2022-05-09 00:00:00,TOBATEL ,TRACKER,MARINO,800.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
94.0,2022-05-09 00:00:00,DETOMASO,SPUM,MARINO BERM,561.0,0.328,JET 1,TEÑIDO POLIESTER EN JET 1,,
95.0,2022-05-09 00:00:00,DETOMASO,TEFETA,MNO POLICIAL,1140.0,0.13,JET 1,TEÑIDO POLIESTER EN JET 1,,
96.0,2022-05-11 00:00:00,TESOTEX,POLIESTER,NEGRO,601.0,0.278,JET 1,TEÑIDO POLIESTER EN JET 1,,
97.0,2022-05-11 00:00:00,TELARES D SUR,ROMBO POL,NEGRO,503.0,0.232,JET 1,TEÑIDO POLIESTER EN JET 1,,
98.0,2022-05-11 00:00:00,TELARES D SUR,ROMBO POL,NEGRO,504.0,0.232,JET 1,TEÑIDO POLIESTER EN JET 1,,
99.0,2022-05-12 00:00:00,PELEG,GROSS,NEGRO,582.0,0.21,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
100.0,2022-05-12 00:00:00,PELEG,GROSS,NEGRO,582.0,0.21,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
101.0,2022-05-12 00:00:00,POLIZZOTTO,BOLSILLO,NEGRO,1037.0,0.162,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
102.0,2022-05-13 00:00:00,HILANTEJ,LONA,VDE ARMY,325.0,0.54,JIGGER 2,TEÑIDO ALGODÓN EN JIGGERS,,
103.0,2022-05-13 00:00:00,HILANTEJ,LONA,VDE ARMY,315.0,0.54,JIGGER,TEÑIDO ALGODÓN EN JIGERS,,
104.0,2022-05-13 00:00:00,NOVADENIM,GUARDAPOLVO, NEGRO,816.0,0.2,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
105.0,2022-05-14 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,310.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
106.0,2022-05-14 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,312.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
107.0,2022-05-14 00:00:00,TOBATEL,TRACKER,MARRON,608.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
108.0,2022-05-14 00:00:00,TOBATEL ,TRACKER,MARRON,644.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
109.0,2022-05-16 00:00:00,JOMEH,MADRAS,TE CON LECHE,994.0,0.21,JIGGER,TEÑIDO EN JIGGER 1,,
110.0,2022-05-17 00:00:00,FIBRASINT,GROSS,MARINO,405.0,0.24,JET 1,TEÑIDO POLIESTER EN JET 1,,
111.0,2022-05-17 00:00:00,FIBRASINT,GROSS,MARINO,405.0,0.24,JET 1,TEÑIDO POLIESTER EN JET 1,,
112.0,2022-05-17 00:00:00,DETOMASO,BOLSILLO,MNO NOCHE POLI,1037.0,0.15,JET 1,TEÑIDO POL/ALG EN 2 BAÑOS,,
113.0,2022-05-19 00:00:00,TELARES D SUR,tracker pesado,MARINO  S/M ,337.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
114.0,2022-05-19 00:00:00,TELARES D SUR,tracker pesado,MARINO S/M,337.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
115.0,2022-05-19 00:00:00,TELARES D SUR,tracker pesado,MARINO S/M ,337.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
116.0,2022-05-19 00:00:00,TELARES D SUR,tracker pesado, NEGRO,343.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
117.0,2022-05-19 00:00:00,TELARES D SUR, tracker pesado, NEGRO,343.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
118.0,2022-05-19 00:00:00,TELARES D SUR,tracker pesado, NEGRO,343.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
119.0,2022-05-20 00:00:00,COTEXSA,BENGALINA,NATURAL 2022,530.0,0.32,JIGGERS 1,TEÑIDO POLIESTER EN JEGGERS,,
120.0,2022-05-20 00:00:00,HILANTEJ,FALSO JEANS,BLUE VINTAGE,668.0,0.304,JIGGER 2,TEÑIDO ALGODÓN EN JIGGERS,,
121.0,2022-05-21 00:00:00,TOBATEL,RIP STOP,VERDE MILITAR,350.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
122.0,2022-05-21 00:00:00,TOBATEL ,RIP STOP ,VERDE MILITAR,350.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
123.0,2022-05-21 00:00:00,PUCHE,SPUM,GRIS ACERO,417.0,0.325,JET 1,TEÑIDO POLIESTER EN JET 1,,
124.0,2022-05-21 00:00:00,PUCHE,SPUM,GRIS ACERO,471.0,0.325,JET 1,TEÑIDO POLIESTER EN JET 1,,
125.0,2022-05-23 00:00:00,FIBRASINT,GROSS,AZUL MNO,810.0,0.24,JIGGER 2,TEÑIDO ALGODÓN EN JIGGER,,
126.0,2022-05-23 00:00:00,DETOMASO,GROSS,FUCSIA AXION,552.0,0.172,JET 1,TEÑIDO POLIESTER EN JET 1,,
127.0,2022-05-24 00:00:00,DETOMASO,GROSS,FUCSIA AXION,552.0,0.172,JET 1,TEÑIDO POLIESTER EN JET 1,,
128.0,2022-05-25 00:00:00,SADASA,POL 900,COYOTE,422.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
129.0,2022-05-25 00:00:00,SADASA,POL 900,COYOTE,422.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
